Reference,Qty,Value,Package,Notes
U1,1,URB2412ZP-6WR3,DIP24 grid TH,Populated pins 2 3 GND 11 NC 14 +Vo 16 0V 22 23 Vin; original DIP8 assumption rejected
J1,1,24V input terminal 2P,5.08mm,Input from 24V rail
J2,1,12V output terminal 2P,5.08mm,Output to logic rail
J3,1,12V fan output terminal 2P,5.08mm,Optional fan output if harness requires it
C1,1,100uF 50V low ESR,THT radial,Input bulk capacitor per audit-updated design
C2,1,1uF 50V X7R,1206 ceramic,Input HF capacitor close to U1
C3,1,10uF 25V low ESR,THT radial,Output bulk capacitor; stay within module capacitive-load limit
C4,1,100nF 25V,1206 ceramic,Output HF capacitor close to U1
TP1_24V TP2_GND TP3_12V TP4_0V,4,Test points,1mm pad,+24V GND +12V 0V bring-up points
H1 H2,2,M3 mounting holes,NPTH 3.2mm,Mechanical mounting; keep metal hardware away from live copper
